Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Haiti,0.3,0.3,0.4,0.4,0.2,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,28.5,29.0,13.7,9.4,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,8.4,9.9,9.8,12.4,9.0,9.1,10.8,13.4,18.2,21.2,22.7,26.3,27.4,36.3,41.2,39.9,41.9
Jamaica,13.1,17.3,16.2,13.3,19.5,18.2,13.9,14.2,16.6,21.6,18.6,17.5,16.8,17.7,21.6,20.7,20.5,22.2,27.0,30.9,48.1,42.1,42.2,48.6,49.8,46.3,43.6,42.3,42.2
Mexico,11.9,13.7,15.5,18.3,22.4,25.6,31.2,18.1,21.5,24.4,24.9,28.7,32.3,34.0,33.0,30.4,28.9,33.0,36.7,42.2,43.0,41.6,49.7,53.8,57.2,63.3,69.1,60.9,46.8
Nicaragua,0.0,0.0,275.7,16.0,10.9,9.1,7.8,7.6,6.7,6.3,5.4,5.4,6.1,5.5,6.7,6.7,6.1,6.3,6.8,7.1,7.6,7.4,7.7,8.9,11.9,12.5,13.5,16.3,11.8
Panama,43.4,42.1,29.6,31.2,30.6,36.2,37.6,35.3,36.2,41.4,35.7,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,18.2,19.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.3,26.3,58.8,75.4,88.7,95.3,105.7,104.8,107.7,109.4,125.8,156.6,139.5,152.3,173.1
Canada,367.7,393.7,412.6,404.7,380.5,358.0,330.3,313.2,291.2,266.0,257.0,269.9,270.3,270.3,271.5,315.2,355.2,402.7,454.1,528.1,579.7,561.1,566.0,620.1,586.6,525.6,501.7,426.2,417.8
USA,1182.5,1214.7,1210.9,1097.6,1183.1,1142.4,1094.0,1047.2,1007.2,1012.6,992.5,1004.4,1066.5,1094.3,1236.6,1426.9,1583.1,1699.7,1765.6,1846.3,2040.0,2176.1,2253.1,2277.1,2175.3,2017.1,1909.3,1852.3,1886.2
Argentina,84.8,44.7,62.7,86.1,96.7,98.8,108.6,108.6,95.4,93.2,93.8,94.5,88.2,85.0,29.4,35.9,37.8,43.4,46.7,57.5,69.1,73.1,84.3,97.3,108.4,120.8,115.9,126.3,118.8
Bolivia,14.1,15.1,20.0,20.5,19.8,15.1,18.1,18.6,19.0,22.9,28.5,21.6,20.8,21.7,18.5,19.7,18.8,18.5,19.3,23.4,34.1,35.4,33.0,40.0,48.8,54.3,59.3,53.7,52.0
Brazil,40.5,59.3,61.4,43.8,32.1,45.0,66.1,88.0,85.1,83.0,84.2,57.0,64.5,61.3,53.4,45.7,52.5,72.1,86.0,106.3,125.5,130.4,171.2,184.2,167.9,160.9,158.5,118.4,113.0
Chile,78.6,76.5,78.5,77.7,86.2,93.7,104.8,128.8,132.3,145.3,142.8,136.4,138.7,123.3,114.5,131.5,168.9,192.6,236.8,244.3,278.9,231.9,287.6,330.6,314.4,314.6,287.3,258.3,254.2
Colombia,26.2,25.7,26.0,26.1,31.0,42.3,54.5,70.0,113.5,77.3,86.4,81.6,74.9,79.6,80.5,77.8,95.0,113.5,121.5,152.7,201.6,198.9,227.0,222.1,249.7,264.1,247.9,189.2,196.3
Ecuador,20.3,18.9,19.8,20.0,19.7,25.2,26.0,41.5,35.9,41.8,45.1,23.9,21.1,29.9,38.6,55.6,52.6,69.5,68.0,92.2,113.9,132.7,140.2,161.7,168.0,174.7,175.2,151.7,132.1
Guyana,15.0,8.3,5.0,2.8,5.1,6.2,7.6,7.8,7.6,0.0,0.0,0.0,17.0,19.3,22.4,22.0,29.8,24.9,25.8,33.5,40.8,41.4,41.2,42.9,44.2,46.2,51.4,60.6,63.4
Paraguay,44.7,23.9,26.6,45.7,38.3,34.8,34.6,43.5,41.5,33.7,27.4,22.4,20.8,16.9,12.7,11.3,14.8,13.4,18.1,22.2,27.8,27.5,32.9,45.3,50.3,57.4,60.8,58.2,51.0
Peru,35.2,40.4,35.6,31.3,39.8,41.3,47.0,58.8,57.1,47.5,45.3,38.8,35.2,34.4,31.6,33.1,33.8,41.6,43.6,43.2,48.4,59.4,66.6,68.1,84.7,96.8,94.6,101.7,78.0
Uruguay,84.7,96.4,105.6,85.8,116.3,131.8,140.7,162.4,177.2,175.8,174.1,173.5,167.4,157.2,103.5,81.0,84.0,104.4,117.9,124.6,169.4,171.6,223.9,243.6,272.2,306.7,302.5,282.6,282.6
Venezuela,58.0,61.7,37.1,48.4,47.7,60.6,43.2,54.0,32.4,66.7,61.6,58.6,73.0,76.6,42.2,38.2,55.1,76.7,110.1,107.3,153.8,140.8,116.0,81.0,166.3,175.5,181.7,169.2,292.5
Kazakhstan,xxx,xxx,xxx,xxx,0.0,0.0,6.6,11.2,15.4,15.3,15.9,9.6,9.6,14.8,16.4,21.0,27.9,38.3,50.8,86.3,96.8,79.0,92.1,109.0,129.5,149.2,132.8,116.1,61.7
Kyrgyzstan,xxx,xxx,xxx,xxx,0.0,0.0,6.3,11.2,11.7,11.6,9.1,6.6,8.0,7.2,8.7,10.9,12.4,14.8,17.4,22.2,28.2,27.7,33.7,37.9,37.5,40.8,43.1,38.8,34.2
Tajikistan,xxx,xxx,xxx,xxx,0.2,4.2,2.5,1.0,2.3,3.2,3.8,2.5,1.7,2.0,4.0,5.3,6.8,0.0,0.0,0.0,7.2,6.4,7.1,9.2,9.6,0.0,12.6,11.3,0.0
Turkmenistan,xxx,xxx,xxx,xxx,0.0,0.0,19.4,32.4,11.4,24.5,19.9,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,xxx,xxx,xxx,xxx,0.0,0.0,3.9,5.0,7.5,9.3,0.0,10.3,4.7,2.4,1.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, P.R.",0.0,10.0,8.7,8.5,10.5,10.5,8.3,10.3,11.8,12.9,14.0,16.7,18.1,21.8,25.0,27.2,31.1,35.2,42.2,51.5,65.1,79.2,86.3,102.3,116.1,132.0,146.6,155.6,155.7
Japan,232.4,229.6,235.6,267.2,292.2,334.4,364.9,401.4,353.0,325.0,302.1,343.7,362.0,323.5,311.6,335.8,357.6,348.9,326.8,318.5,364.1,404.2,429.3,477.5,472.0,386.1,367.8,324.7,365.4
"Korea, North",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, South",183.7,222.6,235.3,252.7,265.7,281.1,304.9,360.2,364.9,327.9,229.3,263.5,298.7,278.4,301.5,336.9,376.8,465.5,525.6,575.2,537.5,503.5,573.9,627.9,644.1,689.2,744.6,724.4,728.8
Mongolia,0.0,0.0,0.0,50.0,14.7,6.2,7.2,9.3,9.3,8.0,8.5,7.6,10.1,9.6,10.3,9.9,11.1,11.8,15.3,21.8,25.4,14.1,20.2,31.6,40.5,36.2,36.1,34.4,33.9
Taiwan,358.1,406.2,430.1,455.6,488.6,560.3,569.7,542.2,551.8,527.3,426.8,439.3,401.2,361.3,338.4,333.4,347.1,352.9,334.9,355.6,388.9,394.5,391.9,429.9,450.4,427.0,419.6,419.3,424.3
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.0,5.2,8.5,9.1,9.3,10.7,11.3,8.0,7.1,8.5,6.1,5.2
Bangladesh,3.3,3.7,3.5,3.5,3.9,4.2,4.7,5.2,5.3,5.5,5.6,5.7,5.6,5.3,5.0,5.2,5.5,5.4,5.7,6.5,6.9,8.4,10.7,11.7,11.7,13.0,14.8,17.6,19.5
India,13.6,12.4,12.1,9.7,8.9,8.9,9.4,10.2,10.1,11.5,11.7,13.4,13.6,13.6,13.5,14.7,18.0,20.2,20.6,24.0,27.6,31.9,37.4,39.8,37.4,37.0,39.3,39.1,42.1
Nepal,2.0,2.0,2.0,1.8,1.9,1.8,1.9,1.9,1.8,1.9,1.8,2.0,2.2,2.7,3.5,4.1,5.2,6.2,6.1,6.5,7.1,7.9,9.5,10.5,9.3,10.1,11.6,11.2,11.0
Pakistan,26.8,24.7,26.1,27.7,29.8,28.4,27.8,29.9,28.2,25.8,24.4,22.8,21.5,20.1,22.7,25.3,27.5,29.9,31.7,33.4,32.0,31.7,35.1,40.0,42.2,42.2,46.8,50.2,52.1
Sri Lanka,9.8,7.3,10.8,15.8,18.4,19.8,24.1,41.8,41.8,37.8,39.5,33.8,43.8,35.7,30.0,28.2,32.0,33.0,40.2,53.2,75.8,75.8,75.8,86.2,72.2,78.0,92.9,99.3,95.4
Brunei,734.9,745.3,899.7,928.4,925.4,836.3,911.1,968.6,1085.7,1191.5,927.7,798.0,738.8,645.8,658.7,696.2,560.5,686.9,797.1,862.9,950.6,903.6,993.4,1039.9,1014.2,1001.4,1264.5,1002.0,940.3
Cambodia,0.0,0.0,3.2,4.6,6.4,4.5,10.4,11.5,10.3,9.1,7.2,7.4,6.6,5.7,5.1,5.2,5.3,5.3,5.6,5.8,5.9,9.7,11.7,13.2,14.7,16.1,18.1,24.5,23.4
Indonesia,7.8,7.9,8.9,9.2,10.1,10.1,11.5,12.6,14.4,15.9,4.7,5.4,5.3,4.3,6.3,9.7,10.9,9.5,11.4,14.4,13.7,13.9,19.3,23.8,26.3,33.4,27.2,29.7,31.4
Laos,0.0,0.0,0.0,0.0,22.7,23.3,24.5,21.3,15.8,13.2,6.5,2.9,2.6,2.3,2.1,2.0,2.0,2.1,2.3,2.5,2.7,2.3,2.5,3.0,3.1,3.4,0.0,0.0,0.0
Malaysia,49.7,57.6,61.8,84.0,92.0,97.6,104.9,117.9,113.9,95.8,51.8,72.6,65.5,80.9,91.7,115.9,111.4,121.0,124.4,148.5,162.2,143.3,137.1,164.2,155.3,166.8,164.5,149.4,135.6
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,44.7,44.4,47.4,0.0
Philippines,15.8,15.8,15.4,14.4,16.6,17.6,20.4,24.3,26.3,21.6,16.4,17.6,16.7,14.1,14.8,15.7,14.7,15.9,18.3,22.6,25.1,23.1,26.2,28.6,30.2,34.6,31.3,33.1,38.1
Singapore,418.7,479.2,597.4,652.5,730.4,753.9,825.3,1054.6,1148.5,1220.1,1195.6,1175.4,1105.3,1071.1,1094.8,1110.3,1152.7,1215.4,1263.5,1377.3,1537.1,1518.1,1596.6,1718.9,1730.7,1729.1,1742.7,1676.4,1749.0
Thailand,32.9,34.8,39.1,45.4,51.3,54.2,61.5,64.9,65.8,53.9,34.5,33.2,30.0,27.2,28.3,29.2,28.5,30.1,36.9,53.1,67.2,72.1,74.4,82.4,81.8,87.5,84.6,84.4,86.3
Timor Leste,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,0.0,0.0,0.0,8.3,17.0,23.2,22.9,35.0,25.0,19.1,30.3,28.1,25.6,31.2,21.6
Viet Nam,20.0,6.9,7.5,6.1,4.7,4.1,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,11.0,12.2,15.1,20.8,24.7,27.5,30.2,30.1,37.2,40.8,46.0,48.8,53.1
Australia,351.9,373.9,392.1,405.4,392.4,379.6,416.0,423.0,447.8,428.7,379.9,411.0,380.7,364.8,407.2,503.0,600.2,652.9,691.0,819.3,871.9,870.9,1047.6,1179.9,1144.3,1066.8,1091.5,1003.0,1012.7
Fiji,34.1,40.1,41.9,44.2,41.0,42.4,44.0,44.7,41.9,39.1,28.2,29.5,39.5,40.3,37.9,45.7,57.2,52.5,65.3,90.5,63.5,60.2,58.6,70.1,67.7,66.0,52.0,52.9,50.3
New Zealand,288.6,285.6,311.3,287.0,248.5,243.2,270.4,312.0,333.1,314.7,256.2,254.2,222.5,203.9,218.5,281.8,315.1,336.1,349.6,404.4,387.7,374.9,441.9,472.3,472.3,477.9,505.9,429.2,458.6
Papua New Guinea,11.7,13.1,16.5,12.4,13.4,15.3,18.1,12.0,16.3,16.0,9.7,6.8,6.3,4.6,3.0,3.3,4.1,5.0,5.0,6.2,6.0,7.8,6.8,9.2,15.5,14.4,15.1,13.1,10.5
Albania,0.0,0.0,0.0,0.0,9.7,12.3,15.8,16.4,14.8,9.6,10.8,13.7,14.5,17.0,18.8,24.4,32.5,35.7,46.2,64.7,86.1,62.4,64.1,68.3,63.6,62.4,61.6,45.7,50.5
Bosnia-Herzegovina,xxx,xxx,xxx,xxx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,53.0,52.3,45.2,46.5,50.8,60.8,63.2,57.3,55.3,51.5,51.7,49.9,42.6,43.3
Bulgaria,0.0,233.3,90.1,26.5,29.6,33.1,28.6,37.2,25.8,29.8,39.4,44.3,43.9,51.2,57.9,72.9,84.0,91.0,98.5,136.4,138.2,129.1,120.6,112.7,110.6,124.0,116.1,92.4,106.6
