name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
Hampton Inn Manhattan-35th St/Empire State Bldg,12/9/2017,12/10/2017,2,1,"59 W. 35th Street, New York City, NY 10001-2202",Hotels.com,"2,199",4,417,151-444
AKA Wall Street,12/9/2017,12/10/2017,2,1,"84 William St, New York, NY, New York City, NY 10038-4601",,93,4.5,541,219-788
Hotel 17,12/9/2017,12/10/2017,2,1,"225 East 17th Street, New York City, NY 10003-3699",,"1,355",4,75,74-79
Gansevoort Meatpacking NYC,12/9/2017,12/10/2017,2,1,"18 9th Avenue, at 13th Street, New York City, NY 10014-1202",Booking.com,"1,841",4,444,285-653
The James New York-NoMad,12/9/2017,12/10/2017,2,1,"22 East 29th Street, New York City, NY 10016",Expedia.com,63,3.5,363,195-507
Life Hotel,12/9/2017,12/10/2017,2,1,"19 West 31st Street, Off Fifth Ave, New York City, NY 10001-4402",Hotels.com,,4,247,174-459
Broadway at Times Square Hotel,12/9/2017,12/10/2017,2,1,"129 West 46th Street, New York City, NY 10036-8502",,"2,120",4,195,144-375
"Club Quarters Hotel, Midtown",12/9/2017,12/10/2017,2,1,"40 W 45th St, New York City, NY 10036-4261",Priceline,"1,524",4,395,156-432
Le Parker Meridien New York,12/9/2017,12/10/2017,2,1,"119 West 56th Street, New York City, NY 10019-4000",LeMeridien.com,"5,612",4,619,279-741
Hilton Garden Inn New York/Manhattan-Midtown East,12/9/2017,12/10/2017,2,1,"206 E 52nd St, New York City, NY 10022-6201",GardenInn.com,"1,291",4.5,489,158-524
Wingate by Wyndham Manhattan Midtown,12/9/2017,12/10/2017,2,1,"235 W 35th St, New York City, NY 10001-1901",Booking.com,"2,205",4,404,139-418
Courtyard New York Manhattan/Herald Square,12/9/2017,12/10/2017,2,1,"71 W 35th St, at 6th Avenue, New York City, NY 10001-2112",Priceline,766,4.5,503,185-544
La Quinta Inn & Suites New York City Central Park,12/9/2017,12/10/2017,2,1,"31 W 71st St, New York City, NY 10023-4101",Expedia.com,221,3.5,349,127-415
Oakwood Sonoma,12/9/2017,12/10/2017,2,1,"300 E 39th St, New York City, NY 10016-2140",,0,-1,213,189-303
Riff Chelsea,12/9/2017,12/10/2017,2,1,"300 W 30th St at 8th Ave, New York City, NY 10001",Hotels.com,,2.5,157,78-277
The Plaza,12/9/2017,12/10/2017,2,1,"Fifth Avenue at Central Park South, New York City, NY 10019",,"2,357",4.5,791,546-1950
Waldorf Astoria New York,12/9/2017,12/10/2017,2,1,"301 Park Avenue, New York City, NY 10022-6844",CheapTickets,,4,1199,319-1799
The Marlton Hotel,12/9/2017,12/10/2017,2,1,"5 W 8th St, New York City, NY 10011-9099",Expedia.com,615,4.5,425,246-468
The Gallivant Times Square,12/9/2017,12/10/2017,2,1,"234 West 48th Street, New York City, NY 10036-1540",AMOMA,"1,406",3.5,371,116-416
Hotel Indigo Lower East Side New York,12/9/2017,12/10/2017,2,1,"171 Ludlow Street, New York City, NY 10002-1501",HotelIndigo.com,694,4.5,459,222-511
The Amsterdam Inn,12/9/2017,12/10/2017,2,1,"340 Amsterdam Ave, at 76th Street, New York City, NY 10024-6932",,110,3,72,69-109
Oakwood at 6th Avenue,12/9/2017,12/10/2017,2,1,"888 Avenue of the Americas, New York City, NY 10001-3502",,59,4.5,183,183-183
Element New York Times Square West,12/9/2017,12/10/2017,2,1,"311 West 39th Street, Between 8th and 9th, New York City, NY 10018-1401",AMOMA,"4,180",4,442,144-468
"The Pierre, A Taj Hotel, New York",12/9/2017,12/10/2017,2,1,"2 East 61st Street at Fifth Avenue, New York City, NY 10065",,"1,801",4.5,987,477-1091
The Soho Loft,12/9/2017,12/10/2017,2,1,"199 Lafayette St, New York City, NY 10012-4279",,,3,456,230-700
Hotel Riu Plaza New York Times Square,12/9/2017,12/10/2017,2,1,"307 W 46th St, New York City, NY 10036-3810",TripAdvisor,"2,049",4,354,185-463
Skyline Hotel,12/9/2017,12/10/2017,2,1,"725 10th Avenue, At 49th Street, New York City, NY 10019-7199",Cancelon,,4,324,132-374
SIXTY LES,12/9/2017,12/10/2017,2,1,"190 Allen St, Lower East Side, New York City, NY 10002-1418",Booking.com,"1,200",4,449,255-599
Doubletree Hotel Chelsea - New York City,12/9/2017,12/10/2017,2,1,"128 West 29th Street, New York City, NY 10001-5301",Doubletree.com,"2,055",4,459,152-493
The High Line Hotel,12/9/2017,12/10/2017,2,1,"180 10th Ave, at 20th Street, New York City, NY 10011-4707",Booking.com,652,4.5,579,321-795
Stewart Hotel,12/9/2017,12/10/2017,2,1,"371 Seventh Ave, New York City, NY 10001-3984",Expedia.com,"5,329",4,404,165-468
Four Points by Sheraton Midtown - Times Square,12/9/2017,12/10/2017,2,1,"326 W 40th St, New York City, NY 10018-1404",AMOMA,"2,266",4,404,156-537
Holiday Inn Express New York - Manhattan West Side,12/9/2017,12/10/2017,2,1,"538 W 48th St, New York City, NY 10036-1102",HIExpress.com,"1,088",4,404,162-422
"The Renwick Hotel New York City, Curio Collection by Hilton",12/9/2017,12/10/2017,2,1,"118 E 40th St, New York City, NY 10016-1724",Cancelon,"1,142",4.5,456,191-488
Trump International Hotel and Tower New York,12/9/2017,12/10/2017,2,1,"1 Central Park West, New York City, NY 10023-7703",Agoda.com,"1,311",4.5,878,473-1278
Holiday Inn Express Manhattan Times Square South,12/9/2017,12/10/2017,2,1,"60 West 36th Street & 6th Ave, New York City, NY 10018-8039",,"1,198",4.5,398,164-456
National at Park Towers,12/9/2017,12/10/2017,2,1,"315 West 57th Street, New York City, NY 10019-3158",,2,3,234,180-300
Washington Jefferson Hotel,12/9/2017,12/10/2017,2,1,"318 W 51st St, New York City, NY 10019-6499",,,4,398,135-403
Library Hotel by Library Hotel Collection,12/9/2017,12/10/2017,2,1,"299 Madison Avenue, New York City, NY 10017-6298",,"4,146",5,456,278-568
